STATcube;;;;
;;;;
Versorgungsbilanz für Fleisch nach Arten ab 1994 in Tonnen (Q);;;;
Produkte nach Werte nach Jahr;;;;
Zählt: BRUTTOEIGENERZEUGUNG, Einfuhr lebender Tiere, Ausfuhr lebender Tiere, NETTOERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERBRAUCH, Inlandsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %, Menschlicher Verzehr, Menschlicher Verzehr pro Kopf in kg;;;;
;;;;
Produkte;Werte;Jahr;Anzahl;Anmerkungen
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2022;446615;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2023;424949;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;1994;472967;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;1995;453732;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;1996;461895;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;1998;488073;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;1999;500051;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;1997;465420;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2000;485370;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2001;465424;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2002;476914;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2003;484364;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2004;479022;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2006;468257;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2005;467251;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2007;487942;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2008;484035;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2010;511721;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2009;504352;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2011;506495;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2012;497542;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2013;496231;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2014;491384;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2015;493747;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2016;478437;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2017;470601;
Schweinefleisch;BRUTTOEIGENERZEUGUNG;2018;470915;
Schweinefleisch;Einfuhr lebender Tiere;2019;34867;
Schweinefleisch;Einfuhr lebender Tiere;2020;30278;
Schweinefleisch;Einfuhr lebender Tiere;2021;32194;
Schweinefleisch;Einfuhr lebender Tiere;2022;31645;
Schweinefleisch;Einfuhr lebender Tiere;2023;30412;
Schweinefleisch;Einfuhr lebender Tiere;1994;7;
Schweinefleisch;Einfuhr lebender Tiere;1995;5114;
Schweinefleisch;Einfuhr lebender Tiere;1996;12149;
Schweinefleisch;Einfuhr lebender Tiere;1998;14644;
Schweinefleisch;Einfuhr lebender Tiere;1999;22351;
Schweinefleisch;Einfuhr lebender Tiere;1997;11101;
Schweinefleisch;Einfuhr lebender Tiere;2000;21082;
Schweinefleisch;Einfuhr lebender Tiere;2001;24315;
Schweinefleisch;Einfuhr lebender Tiere;2002;37214;
Schweinefleisch;Einfuhr lebender Tiere;2003;35582;
Schweinefleisch;Einfuhr lebender Tiere;2004;39677;
Schweinefleisch;Einfuhr lebender Tiere;2006;48536;
Schweinefleisch;Einfuhr lebender Tiere;2005;46919;
Schweinefleisch;Einfuhr lebender Tiere;2007;50660;
Schweinefleisch;Einfuhr lebender Tiere;2008;52450;
Schweinefleisch;Einfuhr lebender Tiere;2010;37717;
Schweinefleisch;Einfuhr lebender Tiere;2009;39329;
Schweinefleisch;Einfuhr lebender Tiere;2011;40740;
Schweinefleisch;Einfuhr lebender Tiere;2012;34574;
Schweinefleisch;Einfuhr lebender Tiere;2013;34280;
Schweinefleisch;Einfuhr lebender Tiere;2014;37638;
Schweinefleisch;Einfuhr lebender Tiere;2015;36807;
Schweinefleisch;Einfuhr lebender Tiere;2016;37745;
Schweinefleisch;Einfuhr lebender Tiere;2017;39241;
Schweinefleisch;Einfuhr lebender Tiere;2018;39779;
Schweinefleisch;Ausfuhr lebender Tiere;2019;1156;
Schweinefleisch;Ausfuhr lebender Tiere;2020;676;
Schweinefleisch;Ausfuhr lebender Tiere;2021;470;
Schweinefleisch;Ausfuhr lebender Tiere;2022;598;
Schweinefleisch;Ausfuhr lebender Tiere;2023;1105;
Schweinefleisch;Ausfuhr lebender Tiere;1994;412;
Schweinefleisch;Ausfuhr lebender Tiere;1995;1426;
Schweinefleisch;Ausfuhr lebender Tiere;1996;1850;
Schweinefleisch;Ausfuhr lebender Tiere;1998;3164;
Schweinefleisch;Ausfuhr lebender Tiere;1999;2834;
Schweinefleisch;Ausfuhr lebender Tiere;1997;1840;
Schweinefleisch;Ausfuhr lebender Tiere;2000;1067;
Schweinefleisch;Ausfuhr lebender Tiere;2001;1064;
Schweinefleisch;Ausfuhr lebender Tiere;2002;2000;
Schweinefleisch;Ausfuhr lebender Tiere;2003;2376;
Schweinefleisch;Ausfuhr lebender Tiere;2004;4046;
Schweinefleisch;Ausfuhr lebender Tiere;2006;2822;
Schweinefleisch;Ausfuhr lebender Tiere;2005;4085;
Schweinefleisch;Ausfuhr lebender Tiere;2007;2698;
Schweinefleisch;Ausfuhr lebender Tiere;2008;3539;
Schweinefleisch;Ausfuhr lebender Tiere;2010;3620;
Schweinefleisch;Ausfuhr lebender Tiere;2009;3381;
Schweinefleisch;Ausfuhr lebender Tiere;2011;3069;
Schweinefleisch;Ausfuhr lebender Tiere;2012;1853;
Schweinefleisch;Ausfuhr lebender Tiere;2013;1226;
Schweinefleisch;Ausfuhr lebender Tiere;2014;1580;
Schweinefleisch;Ausfuhr lebender Tiere;2015;1436;
Schweinefleisch;Ausfuhr lebender Tiere;2016;1291;
Schweinefleisch;Ausfuhr lebender Tiere;2017;1349;
Schweinefleisch;Ausfuhr lebender Tiere;2018;1121;
Schweinefleisch;NETTOERZEUGUNG;2019;503971;
Schweinefleisch;NETTOERZEUGUNG;2020;504439;
Schweinefleisch;NETTOERZEUGUNG;2021;502818;
Schweinefleisch;NETTOERZEUGUNG;2022;477663;
Schweinefleisch;NETTOERZEUGUNG;2023;454256;
Schweinefleisch;NETTOERZEUGUNG;1994;472562;
Schweinefleisch;NETTOERZEUGUNG;1995;457420;
Schweinefleisch;NETTOERZEUGUNG;1996;472194;
Schweinefleisch;NETTOERZEUGUNG;1998;499553;
Schweinefleisch;NETTOERZEUGUNG;1999;519568;
Schweinefleisch;NETTOERZEUGUNG;1997;474681;
Schweinefleisch;NETTOERZEUGUNG;2000;505385;
Schweinefleisch;NETTOERZEUGUNG;2001;488675;
Schweinefleisch;NETTOERZEUGUNG;2002;512129;
Schweinefleisch;NETTOERZEUGUNG;2003;517569;
Schweinefleisch;NETTOERZEUGUNG;2004;514653;
Schweinefleisch;NETTOERZEUGUNG;2006;513971;
Schweinefleisch;NETTOERZEUGUNG;2005;510085;
Schweinefleisch;NETTOERZEUGUNG;2007;535904;
Schweinefleisch;NETTOERZEUGUNG;2008;532946;
Schweinefleisch;NETTOERZEUGUNG;2010;545818;
Schweinefleisch;NETTOERZEUGUNG;2009;540299;
Schweinefleisch;NETTOERZEUGUNG;2011;544166;
Schweinefleisch;NETTOERZEUGUNG;2012;530263;
Schweinefleisch;NETTOERZEUGUNG;2013;529284;
Schweinefleisch;NETTOERZEUGUNG;2014;527442;
Schweinefleisch;NETTOERZEUGUNG;2015;529119;
Schweinefleisch;NETTOERZEUGUNG;2016;514891;
Schweinefleisch;NETTOERZEUGUNG;2017;508493;
Schweinefleisch;NETTOERZEUGUNG;2018;509573;
Schweinefleisch;Anfangsbestand;2019;-;
Schweinefleisch;Anfangsbestand;2020;-;
Schweinefleisch;Anfangsbestand;2021;-;
Schweinefleisch;Anfangsbestand;2022;-;
Schweinefleisch;Anfangsbestand;2023;-;
Schweinefleisch;Anfangsbestand;1994;-;
Schweinefleisch;Anfangsbestand;1995;-;
Schweinefleisch;Anfangsbestand;1996;-;
Schweinefleisch;Anfangsbestand;1998;-;
Schweinefleisch;Anfangsbestand;1999;718;
Schweinefleisch;Anfangsbestand;1997;-;
Schweinefleisch;Anfangsbestand;2000;422;
Schweinefleisch;Anfangsbestand;2001;-;
Schweinefleisch;Anfangsbestand;2002;-;
Schweinefleisch;Anfangsbestand;2003;-;
Schweinefleisch;Anfangsbestand;2004;-;
Schweinefleisch;Anfangsbestand;2006;-;
Schweinefleisch;Anfangsbestand;2005;-;
Schweinefleisch;Anfangsbestand;2007;-;
Schweinefleisch;Anfangsbestand;2008;3000;
Schweinefleisch;Anfangsbestand;2010;-;
Schweinefleisch;Anfangsbestand;2009;-;
Schweinefleisch;Anfangsbestand;2011;-;
Schweinefleisch;Anfangsbestand;2012;-;
Schweinefleisch;Anfangsbestand;2013;-;
Schweinefleisch;Anfangsbestand;2014;-;
Schweinefleisch;Anfangsbestand;2015;-;
Schweinefleisch;Anfangsbestand;2016;-;
Schweinefleisch;Anfangsbestand;2017;-;
Schweinefleisch;Anfangsbestand;2018;-;
Schweinefleisch;Endbestand;2019;-;
Schweinefleisch;Endbestand;2020;-;
Schweinefleisch;Endbestand;2021;-;
Schweinefleisch;Endbestand;2022;-;
Schweinefleisch;Endbestand;2023;-;
Schweinefleisch;Endbestand;1994;-;
Schweinefleisch;Endbestand;1995;-;
Schweinefleisch;Endbestand;1996;-;
Schweinefleisch;Endbestand;1998;718;
Schweinefleisch;Endbestand;1999;422;
Schweinefleisch;Endbestand;1997;-;
Schweinefleisch;Endbestand;2000;-;
Schweinefleisch;Endbestand;2001;-;
Schweinefleisch;Endbestand;2002;-;
Schweinefleisch;Endbestand;2003;-;
Schweinefleisch;Endbestand;2004;-;
Schweinefleisch;Endbestand;2006;-;
Schweinefleisch;Endbestand;2005;-;
Schweinefleisch;Endbestand;2007;3000;
Schweinefleisch;Endbestand;2008;-;
Schweinefleisch;Endbestand;2010;-;
Schweinefleisch;Endbestand;2009;-;
Schweinefleisch;Endbestand;2011;-;
Schweinefleisch;Endbestand;2012;-;
Schweinefleisch;Endbestand;2013;-;
Schweinefleisch;Endbestand;2014;-;
Schweinefleisch;Endbestand;2015;-;
Schweinefleisch;Endbestand;2016;-;
Schweinefleisch;Endbestand;2017;-;
Schweinefleisch;Endbestand;2018;-;
Schweinefleisch;Einfuhr;2019;180102;
Schweinefleisch;Einfuhr;2020;159910;
Schweinefleisch;Einfuhr;2021;169607;
Schweinefleisch;Einfuhr;2022;171736;
Schweinefleisch;Einfuhr;2023;180553;
Schweinefleisch;Einfuhr;1994;2002;
Schweinefleisch;Einfuhr;1995;44863;
Schweinefleisch;Einfuhr;1996;53571;
Schweinefleisch;Einfuhr;1998;60721;
Schweinefleisch;Einfuhr;1999;82281;
Schweinefleisch;Einfuhr;1997;54271;
Schweinefleisch;Einfuhr;2000;102175;
Schweinefleisch;Einfuhr;2001;88027;
Schweinefleisch;Einfuhr;2002;88212;
Schweinefleisch;Einfuhr;2003;85771;
Schweinefleisch;Einfuhr;2004;117400;
Schweinefleisch;Einfuhr;2006;142675;
Schweinefleisch;Einfuhr;2005;134085;
Schweinefleisch;Einfuhr;2007;160547;
Schweinefleisch;Einfuhr;2008;178957;
Schweinefleisch;Einfuhr;2010;179571;
Schweinefleisch;Einfuhr;2009;187846;
Schweinefleisch;Einfuhr;2011;194945;
Schweinefleisch;Einfuhr;2012;181119;
Schweinefleisch;Einfuhr;2013;185871;
Schweinefleisch;Einfuhr;2014;214472;
Schweinefleisch;Einfuhr;2015;193427;
Schweinefleisch;Einfuhr;2016;190633;
Schweinefleisch;Einfuhr;2017;183358;
Schweinefleisch;Einfuhr;2018;175727;
Schweinefleisch;Ausfuhr;2019;225147;
Schweinefleisch;Ausfuhr;2020;216599;
Schweinefleisch;Ausfuhr;2021;237775;
Schweinefleisch;Ausfuhr;2022;219494;
Schweinefleisch;Ausfuhr;2023;211236;
Schweinefleisch;Ausfuhr;1994;25814;
Schweinefleisch;Ausfuhr;1995;37927;
Schweinefleisch;Ausfuhr;1996;59432;
Schweinefleisch;Ausfuhr;1998;95797;
Schweinefleisch;Ausfuhr;1999;134894;
Schweinefleisch;Ausfuhr;1997;77681;
Schweinefleisch;Ausfuhr;2000;115963;
Schweinefleisch;Ausfuhr;2001;118871;
Schweinefleisch;Ausfuhr;2002;140706;
Schweinefleisch;Ausfuhr;2003;135638;
Schweinefleisch;Ausfuhr;2004;164236;
Schweinefleisch;Ausfuhr;2006;185907;
Schweinefleisch;Ausfuhr;2005;176362;
Schweinefleisch;Ausfuhr;2007;211172;
Schweinefleisch;Ausfuhr;2008;244865;
Schweinefleisch;Ausfuhr;2010;252735;
Schweinefleisch;Ausfuhr;2009;253231;
Schweinefleisch;Ausfuhr;2011;270598;
Schweinefleisch;Ausfuhr;2012;247228;
Schweinefleisch;Ausfuhr;2013;245214;
Schweinefleisch;Ausfuhr;2014;266392;
Schweinefleisch;Ausfuhr;2015;244745;
Schweinefleisch;Ausfuhr;2016;231925;
Schweinefleisch;Ausfuhr;2017;228234;
Schweinefleisch;Ausfuhr;2018;218984;
Schweinefleisch;INLANDSVERBRAUCH;2019;458925;
Schweinefleisch;INLANDSVERBRAUCH;2020;447750;
Schweinefleisch;INLANDSVERBRAUCH;2021;434650;
Schweinefleisch;INLANDSVERBRAUCH;2022;429906;
Schweinefleisch;INLANDSVERBRAUCH;2023;423573;
Schweinefleisch;INLANDSVERBRAUCH;1994;448750;
Schweinefleisch;INLANDSVERBRAUCH;1995;464357;
Schweinefleisch;INLANDSVERBRAUCH;1996;466333;
Schweinefleisch;INLANDSVERBRAUCH;1998;463759;
Schweinefleisch;INLANDSVERBRAUCH;1999;467251;
Schweinefleisch;INLANDSVERBRAUCH;1997;451271;
Schweinefleisch;INLANDSVERBRAUCH;2000;492019;
Schweinefleisch;INLANDSVERBRAUCH;2001;457832;
Schweinefleisch;INLANDSVERBRAUCH;2002;459636;
Schweinefleisch;INLANDSVERBRAUCH;2003;467703;
Schweinefleisch;INLANDSVERBRAUCH;2004;467817;
Schweinefleisch;INLANDSVERBRAUCH;2006;470739;
Schweinefleisch;INLANDSVERBRAUCH;2005;467808;
Schweinefleisch;INLANDSVERBRAUCH;2007;482279;
Schweinefleisch;INLANDSVERBRAUCH;2008;470038;
Schweinefleisch;INLANDSVERBRAUCH;2010;472654;
Schweinefleisch;INLANDSVERBRAUCH;2009;474914;
Schweinefleisch;INLANDSVERBRAUCH;2011;468513;
Schweinefleisch;INLANDSVERBRAUCH;2012;464154;
Schweinefleisch;INLANDSVERBRAUCH;2013;469941;
Schweinefleisch;INLANDSVERBRAUCH;2014;475523;
Schweinefleisch;INLANDSVERBRAUCH;2015;477801;
Schweinefleisch;INLANDSVERBRAUCH;2016;473599;
Schweinefleisch;INLANDSVERBRAUCH;2017;463617;
Schweinefleisch;INLANDSVERBRAUCH;2018;466317;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2019;51,7;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2020;50,3;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2021;48,6;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2022;47,5;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2023;46,4;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;1994;55,9;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;1995;57,7;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;1996;57,9;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;1998;57,4;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;1999;57,7;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;1997;55,9;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2000;60,7;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2001;56,8;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2002;57,2;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2003;57,8;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2004;57,2;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2006;56,8;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2005;56,8;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2007;58;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2008;56,4;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2010;56,3;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2009;56,8;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2011;55,6;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2012;55,1;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2013;55,4;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2014;55,7;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2015;55,5;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2016;54,2;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2017;52,7;
Schweinefleisch;Inlandsverbrauch pro Kopf in kg;2018;52,8;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2019;102;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2020;106;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2021;108;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2022;104;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2023;100;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;1994;105;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;1995;98;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;1996;99;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;1998;105;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;1999;107;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;1997;103;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2000;99;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2001;102;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2002;104;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2003;104;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2004;102;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2006;99;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2005;100;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2007;101;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2008;103;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2010;108;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2009;106;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2011;108;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2012;107;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2013;106;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2014;103;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2015;103;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2016;101;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2017;102;
Schweinefleisch;SELBSTVERSORGUNGSGRAD in %;2018;101;
Schweinefleisch;Menschlicher Verzehr;2019;323542;
Schweinefleisch;Menschlicher Verzehr;2020;315664;
Schweinefleisch;Menschlicher Verzehr;2021;306428;
Schweinefleisch;Menschlicher Verzehr;2022;303083;
Schweinefleisch;Menschlicher Verzehr;2023;298619;
Schweinefleisch;Menschlicher Verzehr;1994;316369;
Schweinefleisch;Menschlicher Verzehr;1995;327371;
Schweinefleisch;Menschlicher Verzehr;1996;328765;
Schweinefleisch;Menschlicher Verzehr;1998;326950;
Schweinefleisch;Menschlicher Verzehr;1999;329412;
Schweinefleisch;Menschlicher Verzehr;1997;318146;
Schweinefleisch;Menschlicher Verzehr;2000;346873;
Schweinefleisch;Menschlicher Verzehr;2001;322771;
Schweinefleisch;Menschlicher Verzehr;2002;324043;
Schweinefleisch;Menschlicher Verzehr;2003;329730;
Schweinefleisch;Menschlicher Verzehr;2004;329811;
Schweinefleisch;Menschlicher Verzehr;2006;331871;
Schweinefleisch;Menschlicher Verzehr;2005;329804;
Schweinefleisch;Menschlicher Verzehr;2007;340007;
Schweinefleisch;Menschlicher Verzehr;2008;331377;
Schweinefleisch;Menschlicher Verzehr;2010;333221;
Schweinefleisch;Menschlicher Verzehr;2009;334814;
Schweinefleisch;Menschlicher Verzehr;2011;330302;
Schweinefleisch;Menschlicher Verzehr;2012;327229;
Schweinefleisch;Menschlicher Verzehr;2013;331308;
Schweinefleisch;Menschlicher Verzehr;2014;335243;
Schweinefleisch;Menschlicher Verzehr;2015;336850;
Schweinefleisch;Menschlicher Verzehr;2016;333887;
Schweinefleisch;Menschlicher Verzehr;2017;326850;
Schweinefleisch;Menschlicher Verzehr;2018;328753;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2019;36,4;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2020;35,4;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2021;34,2;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2022;33,5;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2023;32,7;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;1994;39,4;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;1995;40,7;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;1996;40,8;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;1998;40,5;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;1999;40,7;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;1997;39,4;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2000;42,8;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2001;40;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2002;40,3;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2003;40,7;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2004;40,3;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2006;40,1;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2005;40,1;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2007;40,9;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2008;39,7;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2010;39,7;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2009;40;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2011;39,2;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2012;38,8;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2013;39,1;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2014;39,2;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2015;39,1;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2016;38,2;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2017;37,2;
Schweinefleisch;Menschlicher Verzehr pro Kopf in kg;2018;37,2;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2019;222889;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2020;209219;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2021;203725;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2022;200618;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2023;200061;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;1994;235464;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;1995;208426;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;1996;240050;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;1998;210372;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;1999;218850;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;1997;220790;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2000;215032;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2001;225782;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2002;219863;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2003;216854;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2004;211804;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2006;219498;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2005;207624;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2007;222892;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2008;222325;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2010;221784;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2009;217354;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2011;225109;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2012;219725;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2013;220736;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2014;217542;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2015;218970;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2016;221243;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2017;221118;
Rind- und Kalbfleisch;BRUTTOEIGENERZEUGUNG;2018;225313;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2019;22770;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2020;21519;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2021;21751;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2022;20527;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2023;18402;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;1994;581;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;1995;5638;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;1996;3298;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;1998;8298;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;1999;6716;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;1997;5772;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2000;9367;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2001;2172;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2002;4730;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2003;4839;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2004;9045;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2006;14938;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2005;13037;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2007;14967;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2008;21702;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2010;23927;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2009;25885;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2011;21237;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2012;25361;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2013;27797;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2014;24556;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2015;28160;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2016;25003;
Rind- und Kalbfleisch;Einfuhr lebender Tiere;2017;23737;
